station,lat,lon
Granowiec,51.5116753,17.6451794
Granowo Nowotomyskie,52.2255006,16.5306944
Gregorowce,52.6624924,23.2416068
Grodków Śląski,50.6977778,17.376277
Grodzisk Mazowiecki,52.1102652,20.6230892
Grodzisk Wielkopolski,52.2304126,16.3639741
Grodziszcze Mazowieckie,52.1608742,21.872457
Grom,53.606319,20.8620492
Gromnik,49.8343308,20.9611921
Gronowo Elbląskie,54.0900141,19.3059519
Grotniki,51.887121,19.3110879
Grudze,52.0486556,19.9017605
Grudziądz,53.4819767,18.7615467
Grudziądz Mniszek,53.433415,18.7254506
Grudziądz Przedmieście,53.4742372,18.7488745
Grupa,53.5039613,18.6295025
Grybów,49.6259905,20.957127
Gryfice,53.9149422,15.1917473
Gryfino,53.2541187,14.4929615
Gryfów Śląski,51.0339789,15.4289759
Grylewo,52.8878506,17.2278221
Gryźliny,53.6130909,20.3465999
Grzegorzewo,52.485503,21.4287473
Grzmiąca,53.8325125,16.4195008
Grzybno,53.2034921,18.446627
Grzędzice,53.3581646,14.9732591
Grzęska,50.0800374,22.452564
Gródek,51.5796136,22.7940301
Grąblewo,52.2355245,16.3902333
Grębocice,51.5933575,16.1850327
Gręboszów,51.0654514,17.7997779
Grębów,50.6051506,21.8392825
Guben,51.9590817,14.7067478
Gubin,51.9784355,14.721083
Gutowo Wielkopolskie,52.3324062,17.6438574
Gułtowy,52.3681003,17.3166527
Gzin,53.192096,18.3319144
Góra Kalwaria,51.9892368,21.1929475
Górażdże,50.5292143,18.0033261
Górka Duchowna,51.9542157,16.5769051
Górki Noteckie,52.7932889,15.4884964
Górki Szczukowskie,,
Górki Śląskie,50.1422541,18.3888565
Górna Grupa,53.4987376,18.6772156
Górowo,53.9601001,20.9843268
Górzyca,52.499438,14.6573592
Górzyniec,50.8600483,15.5681957
Gądki,52.3019627,17.0455008
Gądków Wielki,52.2464777,14.9631756
Gągławki,53.6802225,20.4372063
Gąsawy Plebańskie,51.2318078,20.9473313
Głogów,51.6696063,16.0798664
Głogów Huta,51.6752121,15.9925675
Głogów Małopolski,50.1473563,21.9596092
Głogów Wróblin,51.686569,15.9546575
Głogówek,50.3475027,17.8755824
Głogówko,51.735189,16.0955493
Głowno,51.9614039,19.7030198
Głuchowo,53.2020799,18.5437121
Głuchołazy,50.3301598,17.3944233
Głuchołazy Miasto,50.3168044,17.3898751
Głuchów,50.0834693,22.2790775
Głuszyca,50.6879202,16.3539237
Głuszyca Górna,50.6729297,16.3715846
Głuszyno Pomorskie,54.4898704,17.4178174
Hajnówka,52.73355,23.5830712
Halinów,52.2233842,21.3502762
Hel,54.6110402,18.8008848
Henryków,50.663243,17.0300261
Herby Nowe,50.7475565,18.8545454
Herby Stare,50.7472976,18.8809378
Hordzieżka,51.7546384,22.1609371
Horka Gbf,,
Horyniec-Zdrój,,
Hołówki Duże,52.9713971,23.0952687
Hrebenne,50.298362,23.5760934
Hrubieszów Miasto,50.7971297,23.9089671
Hryniewicze,53.0723309,23.1281588
Hucisko,49.6885245,19.4074103
Hurko,49.7851816,22.8629134
Huta Komorowska,50.3894315,21.7157915
Imbramowice,50.9633658,16.5781401
Imielin,52.1493,21.0461062
Inowrocław,52.8051894,18.2439417
Inowrocław Rąbinek,52.7693872,18.2431612
Inwałd,49.8530079,19.3881037
Iwin,53.7950743,16.5154723
Iwiny,51.0546671,17.068808
Izbica,50.8905686,23.1554521
Iława Główna,53.5822143,19.573749
Iława Miasto,53.5955841,19.54881
Iłowa Żagańska,51.5020342,15.1886324
